"pris","vej","vejnr","postnr","by","kvmpris","størrelse","mdudg","grund","værelser","liggetid","opført"
"1.495.000 kr.","gammel-horsensvej","369","8660","skanderborg","12.453","112","1.960","763","4","11 dag","1937"
"1.695.000 kr.","tjoernevej","1","4281","goerlev","25.148","57","1.704","684","2","11 dag","1900"
"1.450.000 kr.","frihedsvej","6","9900","frederikshavn","8.662","126","2.103","832","5","11 dag","1947"
"2.550.000 kr.","subaekvej","13","8800","viborg","16.983","140","2.105","714","5","11 dag","2001"
"3.495.000 kr.","blommehaven","61","4390","vipperoed","17.354","204","3.434","804","8","11 dag","1986"
"1.400.000 kr.","kaehlersvej","21","4220","korsoer","8.206","145","2.354","428","4","11 dag","1924"
"2.995.000 kr.","arildsvej","27","8800","viborg","15.288","190","2.503","791","5","11 dag","1964"
"3.195.000 kr.","trindelvej","1","9990","skagen","27.122","115","1.649","376","5","11 dag","1938"
"3.995.000 kr.","jordrupvej","5","6600","vejen","11.922","317","3.044","50.159","8","11 dag","1996"
"5.298.000 kr.","foelvaenget","12","9000","aalborg","31.868","138","4.917","672","6","11 dag","1955"
"625.000 kr.","bjerrebyvej","63","5700","svendborg","7.476","54","1.395","1.140","2","11 dag","1936"
"7.495.000 kr.","bovneager","6","2600","glostrup","41.685","172","4.666","731","6","11 dag","2009"
"5.395.000 kr.",NA,NA,NA,NA,"28.560","230","3.707","1.206","7","11 dag","1880"
"4.595.000 kr.","oestergaards-alle","23","5250","odense","26.034","142","3.113","630","6","11 dag","1939"
"795.000 kr.","kirkevej","140","9870","sindal","4.419","157","1.407","1.171","6","11 dag","1975"
"4.495.000 kr.","lillevang","4","2605","broendby","33.861","126","3.733","1.235","5","11 dag","1959"
"3.795.000 kr.","hoejdevej","7","3400","hilleroed","23.756","136","3.477","801","5","11 dag","1962"
"2.995.000 kr.","boegebakken","42","8870","langaa","16.602","156","3.006","1.079","5","11 dag","2008"
"4.395.000 kr.","ringstrupvej","6","2610","roedovre","38.808","110","4.255","650","4","11 dag","1934"
"5.895.000 kr.","spaettevaenget","15","2791","dragoer","39.092","145","4.674","742","5","11 dag","1961"
"4.295.000 kr.","klokkehoej","30","7400","herning","19.977","198","3.211","825","5","11 dag","2008"
"4.495.000 kr.","helenavej","30","9210","aalborg","25.686","170","3.478","537","5","11 dag","2011"
"2.195.000 kr.","ternevej","13","8870","langaa","13.400","147","2.480","953","4","11 dag","1973"
"8.995.000 kr.",NA,NA,NA,NA,"44.310","203","6.025","600","7","11 dag","2018"
"998.000 kr.","buen","2","9700","broenderslev","4.943","202","1.672","925","2","11 dag","1940"
"3.295.000 kr.","oernebjergvej","63","3650","oelstykke","17.620","124","4.225","771","4","11 dag","1969"
"1.395.000 kr.","gammel-aabenraavej","57","6400","soenderborg","8.462","169","2.389","555","4","11 dag","1963"
"2.145.000 kr.","frejasvej","34","8920","randers","10.476","197","2.756","795","6","11 dag","1972"
"7.500.000 kr.",NA,NA,NA,NA,"34.706","205","4.436","1.565","6","11 dag","2017"
"3.995.000 kr.","tranevej","3","3650","oelstykke","26.060","103","3.786","702","4","11 dag","1968"
"1.150.000 kr.","nykoebingvej","40","4460","snertinge","10.061","109","1.785","779","3","11 dag","1925"
"3.250.000 kr.","vesterhavsgade","117","7700","thisted","23.466","145","1.642","700","4","11 dag","1920"
"6.495.000 kr.","ulshoejsvej","15","9210","aalborg","31.077","203","3.260","933","7","11 dag","2017"
"2.695.000 kr.",NA,NA,NA,NA,"11.616","232","1.640","1.003","7","11 dag","1980"
"3.995.000 kr.","jens-kalstrups-vej","18","9000","aalborg","16.853","182","4.420","981","7","11 dag","1972"
"3.995.000 kr.","krotoften","22","4140","borup","23.363","166","3.439","878","4","11 dag","1977"
"3.595.000 kr.","skovbrynet","7","8600","silkeborg","20.311","168","3.063","942","4","11 dag","1959"
"2.395.000 kr.","birkeloekken","15","3770","allinge","11.570","203","2.616","823","7","11 dag","1972"
"1.195.000 kr.",NA,NA,NA,NA,"7.436","157","1.439","1.775","5","11 dag","1986"
"5.295.000 kr.","violstraede","19","5642","millinge","21.368","178","1.938","1.279","5","11 dag","1898"
"1.395.000 kr.","bekkasinvej","22","6000","kolding","11.529","119","2.397","594","4","11 dag","1972"
"1.695.000 kr.","bakkevej","8","8740","braedstrup","12.185","128","1.789","706","4","11 dag","1969"
"1.595.000 kr.","bremersalle","4","8700","horsens","10.943","115","2.119","971","4","11 dag","1929"
"3.595.000 kr.","bakkestjernevej","1","3390","hundested","19.807","190","2.515","768","6","11 dag","2006"
"3.595.000 kr.","bakkestjernevej","1","3390","hundested","19.807","190","2.515","768","6","11 dag","2006"
"4.200.000 kr.",NA,NA,NA,NA,"25.240","162","4.460","768","5","11 dag","1971"
"985.000 kr.","bjerglide","3","7330","brande","9.657","90","1.523","820","4","11 dag","1959"
"5.995.000 kr.","elmevej","11","4000","roskilde","36.723","158","4.612","1.027","6","11 dag","1956"
"1.098.000 kr.","borgergade","44","6752","glejbjerg","6.158","172","1.458","812","5","11 dag","1948"
"895.000 kr.","dykkervej","8","9982","aalbaek","8.544","96","1.113","650","3","11 dag","1960"
"675.000 kr.","aalstrupvej","38","8300","odder","7.649","82","1.154","240","3","11 dag","1860"
"1.595.000 kr.","fyrvejen","62","7900","nykoebing","10.705","150","1.622","807","4","11 dag","1966"
"6.800.000 kr.","sandholmvej","5","3450","alleroed","35.865","158","5.000","1.038","5","11 dag","1912"
"5.450.000 kr.",NA,NA,NA,NA,"31.871","169","5.930","720","5","11 dag","1986"
"1.295.000 kr.","skyttemarksvej","9","4773","stensved","8.248","110","2.319","1.055","4","11 dag","1967"
"4.495.000 kr.","hadsundvej","185","9000","aalborg","19.907","196","3.373","938","7","11 dag","2007"
"3.695.000 kr.","vibevej","19","8543","hornslet","20.994","170","3.060","719","4","11 dag","1968"
"5.998.000 kr.","enebaervej","68","8240","risskov","34.372","164","4.000","788","6","11 dag","1959"
"2.345.000 kr.","tverfaldet","3","8450","hammel","17.480","126","2.631","847","5","11 dag","1968"
"599.000 kr.","tidselkaervej","8","7900","nykoebing","3.792","153","968","740","3","11 dag","1931"
"2.395.000 kr.","skovgaardsvej","5","8600","silkeborg","12.269","179","2.364","1.021","6","11 dag","1973"
"4.295.000 kr.","halfdan-rasmussens-vej","38","4700","naestved","21.106","192","3.442","874","5","11 dag","2017"
"5.998.000 kr.","holmetoften","76","8270","hoejbjerg","37.723","150","4.244","1.100","5","11 dag","1975"
"6.195.000 kr.","christopher-boecks-alle","86","2860","soeborg","49.799","120","4.692","767","5","11 dag","1933"
"7.495.000 kr.","fyrrekrogen","3","3400","hilleroed","29.381","250","5.587","2.400","6","11 dag","1967"
"2.495.000 kr.","kornvaenget","2","9310","vodskov","9.727","233","3.763","1.289","6","11 dag","1968"
"2.795.000 kr.","maglehoejvej","4","3660","stenloese","25.340","102","3.858","1.144","4","11 dag","1964"
"430.000 kr.","noerrehedevej","15","9370","hals","3.568","80","744","10.387","2","11 dag","1931"
"4.795.000 kr.","hattenaesvaenget","12","8600","silkeborg","27.797","170","3.434","646","3","11 dag","1946"
"8.250.000 kr.","snerlevej","2","2820","gentofte","42.592","165","5.328","547","7","11 dag","1931"
"12.500.000 kr.","klampenborgvej","9","2930","klampenborg","84.005","116","7.370","1.182","4","11 dag","1927"
"995.000 kr.","rugmarken","60","9670","loegstoer","6.789","136","1.841","894","4","11 dag","1979"
"995.000 kr.","skippervej","3","7770","vestervig","9.171","97","1.230","1.182","3","11 dag","1904"
"995.000 kr.","storegade","33","5592","ejby","6.931","122","1.398","829","5","11 dag","1939"
"1.795.000 kr.","sydvestvej","7","8700","horsens","15.148","113","2.081","911","4","11 dag","1966"
"5.995.000 kr.","vojensvej","36","2610","roedovre","32.059","148","4.609","536","8","11 dag","1935"
"2.395.000 kr.","vestergade","73","5560","aarup","10.191","200","2.076","930","5","11 dag","1973"
"1.995.000 kr.","skovlunden","10","7323","give","10.837","181","1.916","855","7","11 dag","1976"
"3.295.000 kr.","lindeengen","65","2740","skovlunde","29.420","112","4.808","712","4","11 dag","1972"
"3.295.000 kr.","havblikvej","1","8420","knebel","16.105","206","3.114","1.111","6","11 dag","1979"
"495.000 kr.","hoejstrupvej","75","7742","vesloes","2.920","153","1.645","980","4","11 dag","1947"
"1.495.000 kr.","foldingbrovej","54","6650","broerup","5.506","230","2.510","35.386","6","11 dag","1910"
"5.895.000 kr.","kalundborgvej","138","4300","holbaek","22.608","201","4.270","1.109","4","11 dag","1959"
"1.095.000 kr.","liltvedvej","5","8961","allingaabro","6.359","162","1.476","9.635","6","11 dag","1900"
"1.950.000 kr.","fuglsangvej","4","4720","praestoe","8.929","192","1.900","1.115","4","11 dag","1827"
"1.345.000 kr.","birkealle","6","6780","skaerbaek","7.811","175","1.558","717","5","11 dag","1933"
"1.595.000 kr.","amalievaenget","41","7080","boerkop","16.342","94","1.784","390","3","11 dag","1999"
"1.245.000 kr.","teglgaardsvej","6","5540","ullerslev","10.524","108","1.784","839","4","11 dag","1970"
"7.750.000 kr.","stenkloevervej","23","8240","risskov","44.009","148","4.410","788","5","11 dag","1954"
"995.000 kr.","hovedgaden","3","9500","hobro","5.599","164","1.751","1.130","7","11 dag","1931"
"3.195.000 kr.","hovedgaden","68","3630","jaegerspris","19.783","134","3.452","923","4","11 dag","1950"
"1.475.000 kr.","voelundsvej","24","7500","holstebro","10.315","134","2.376","945","5","11 dag","1969"
"8.500.000 kr.",NA,NA,NA,NA,"54.645","127","1.728","583","3","11 dag","1914"
"3.150.000 kr.","ambolten","18","8382","hinnerup","23.085","132","3.613","417","4","11 dag","2021"
"995.000 kr.","svanevej","4","9940","laesoe","11.294","84","1.119","575","3","11 dag","1937"
"7.795.000 kr.","taebyvej","44","2610","roedovre","38.248","172","6.222","950","5","11 dag","1939"
"4.495.000 kr.","solhoejsvej","73","9210","aalborg","13.376","221","3.322","1.155","7","11 dag","1966"
"798.000 kr.","vestergade","27","6392","bolderslev","5.408","136","1.354","1.200","4","11 dag","1956"
"1.200.000 kr.",NA,NA,NA,NA,"10.278","93","2.302","623","4","11 dag","1962"
"625.000 kr.","sevelvej","54","7830","vinderup","4.034","149","1.671","1.018","5","11 dag","1930"
"7.995.000 kr.","skrivervaenget","8","8680","ry","37.057","206","5.741","938","5","11 dag","2020"
"3.345.000 kr.","katkaervej","8","6470","sydals","17.615","165","3.544","1.092","5","11 dag","2019"
"4.998.000 kr.","koldkilde","31","8520","lystrup","27.522","174","2.710","891","6","11 dag","2008"
"3.995.000 kr.","soendermarken","10","9760","vraa","9.624","420","2.827","1.760","9","11 dag","1971"
"695.000 kr.","smedien","4","8500","grenaa","4.572","122","1.290","1.734","6","11 dag","1900"
"4.295.000 kr.","egevej","14","3650","oelstykke","26.727","127","3.647","675","5","12 dag","1968"
"3.098.000 kr.","koltvej","30","8361","hasselager","22.050","138","3.156","839","6","12 dag","1961"
"545.000 kr.","lunderskovvej","32","6622","baekke","3.168","122","1.793","5.204","6","12 dag","1910"
"2.498.000 kr.","jaegertoften","1","6780","skaerbaek","12.719","136","1.852","872","4","12 dag","2006"
"9.975.000 kr.","strandegaardsvej","17","2650","hvidovre","50.686","200","4.696","729","7","12 dag","1966"
"2.045.000 kr.","fanoevej","5","7400","herning","15.914","102","1.987","394","5","12 dag","1950"
"1.795.000 kr.","egevej","6","4683","roennede","10.559","157","2.803","876","5","12 dag","1969"
"1.695.000 kr.","byvaenget","3","4652","haarlev","10.482","152","2.256","558","4","12 dag","1853"
"3.995.000 kr.","belgiervej","4","8960","randers","19.060","186","2.942","771","4","12 dag","2022"
"595.000 kr.","violvej","3","9850","hirtshals","5.891","96","1.294","704","4","12 dag","1966"
"4.798.000 kr.","boellundvej","6","2770","kastrup","37.484","117","3.933","691","4","12 dag","1970"
"4.595.000 kr.","true-byvej","29","8381","tilst","21.190","140","4.346","4.146","3","12 dag","2020"
"5.395.000 kr.","skindengen","6","2765","smoerum","38.073","138","4.236","398","4","12 dag","2021"
"3.175.000 kr.",NA,NA,NA,NA,"15.526","186","2.551","1.437","6","12 dag","2002"
"445.000 kr.","aagade","10","7770","vestervig","3.371","126","1.150","891","4","12 dag","1965"
"3.495.000 kr.","vestervang","101","6650","broerup","17.813","191","2.121","2.044","6","12 dag","2021"
"4.400.000 kr.","solbakken","4","6000","kolding","22.733","160","4.154","858","6","12 dag","1967"
"435.000 kr.","aarhusvej","17","8400","ebeltoft","2.205","201","1.727","2.060","5","12 dag","1946"
"1.785.000 kr.","rendsborgvej","24","6400","soenderborg","11.244","161","2.303","462","5","12 dag","1980"
"8.395.000 kr.","valnaesvej","12","2730","herlev","44.453","201","3.682","5.516","6","12 dag","1961"
"295.000 kr.","tambohusvej","2","7790","thyholm","2.488","110","1.166","830","4","12 dag","1902"
"2.495.000 kr.","svendborgvej","53","8940","randers","10.989","168","3.436","1.681","5","12 dag","1970"
"685.000 kr.","groenloekke","2","6500","vojens","6.199","100","1.357","786","4","12 dag","1968"
"1.495.000 kr.","brombjerg","10","6310","broager","11.786","112","1.775","826","3","12 dag","1999"
"295.000 kr.","algade","32","7620","lemvig","2.365","85","813","589","3","12 dag","1951"
"3.495.000 kr.","vaarlyngen","41","5270","odense","17.276","167","2.539","1.101","5","12 dag","1964"
"1.898.000 kr.","smedegade","17","8300","odder","9.384","200","2.716","838","7","12 dag","1969"
"5.645.000 kr.","groendalshuse","1","3460","birkeroed","46.557","120","4.101","386","3","12 dag","2020"
"4.598.000 kr.","vester-kringelvej","10","8250","egaa","19.360","213","3.743","1.215","7","12 dag","1971"
"5.495.000 kr.","egoeje-byvej","10","4600","koege","34.778","153","1.837","87.050","5","12 dag","1600"
"3.985.000 kr.","granbakken","3","3400","hilleroed","30.189","120","3.366","482","5","12 dag","1936"
"4.395.000 kr.","margrethe-alle","51","2690","karlslunde","28.981","146","3.203","715","4","12 dag","1969"
"4.695.000 kr.","bakkevej","12","3460","birkeroed","28.857","113","4.455","1.041","4","12 dag","1952"
"1.495.000 kr.","bakkevej","43","5450","otterup","11.447","127","2.275","1.078","4","12 dag","1969"
"3.395.000 kr.","platanvej","9","8680","ry","31.464","106","2.641","555","3","12 dag","1988"
"3.995.000 kr.","pilealle","16","3450","alleroed","28.782","133","4.548","794","3","12 dag","1953"
"2.195.000 kr.",NA,NA,NA,NA,"9.127","202","2.634","1.569","5","12 dag","1877"
"5.695.000 kr.","soenderbyvej","24","6950","ringkoebing","10.680","198","5.241","69.374","6","12 dag","2016"
"1.475.000 kr.","loendalen","5","8830","tjele","5.046","228","1.693","2.607","8","12 dag","1848"
"1.795.000 kr.","pontoppidansgade","22","9700","broenderslev","9.601","155","2.322","1.186","5","12 dag","1973"
"3.495.000 kr.",NA,NA,NA,NA,"29.795","121","1.877","453","5","12 dag","1860"
"998.000 kr.","elmevang","16","9300","saeby","7.170","105","1.838","913","4","12 dag","1952"
"4.995.000 kr.","oxholmvej","4","9200","aalborg","22.309","217","3.634","1.231","7","12 dag","1970"
"1.245.000 kr.","nymandsgade","29","6870","oelgod","6.053","193","2.024","684","7","12 dag","1929"
"2.699.000 kr.","langdraget","415","3250","gilleleje","22.586","118","3.474","835","4","12 dag","1984"
"5.500.000 kr.","skovvejen","28","4660","store","29.506","187","3.014","15.762","6","12 dag","1877"
"6.275.000 kr.","nordre-strandvej","47","8240","risskov","55.827","112","4.111","808","5","12 dag","1925"
"1.395.000 kr.","skibelundvej","20","8850","bjerringbro","9.094","112","1.712","912","3","12 dag","1950"
"2.250.000 kr.","gustav-wieds-vej","12","4100","ringsted","18.908","115","2.706","703","4","12 dag","1985"
"1.148.000 kr.","silkeborgvej","24","8641","sorring","9.371","114","1.870","801","3","12 dag","1950"
"1.595.000 kr.","hovedgaden","26","8670","laasby","16.789","91","1.724","447","3","12 dag","2004"
"2.695.000 kr.","bogoevej","5","4700","naestved","13.785","164","3.391","700","5","12 dag","1953"
"3.995.000 kr.","snaevringen","4","5700","svendborg","31.029","110","2.523","536","5","12 dag","1958"
"9.495.000 kr.",NA,NA,NA,NA,"54.242","170","7.776","1.002","4","12 dag","1973"
"2.995.000 kr.","faaborgvej","92","5620","glamsbjerg","11.944","178","2.626","6.186","6","12 dag","1945"
"5.495.000 kr.","egsmark-hoeje","38","8400","ebeltoft","34.495","148","2.906","1.047","4","12 dag","2022"
"1.795.000 kr.","baldersvej","2","7400","herning","13.583","107","1.906","578","4","12 dag","1950"
"2.595.000 kr.","lavendelvej","4","4450","jyderup","16.193","149","2.701","995","5","12 dag","2011"
"3.295.000 kr.","hoejmarkstoften","112","8600","silkeborg","18.621","157","3.084","1.033","5","12 dag","1976"
"1.095.000 kr.","hedevej","20","8723","loesning","7.684","132","1.549","19.630","4","12 dag","1910"
"1.595.000 kr.","tvedvej","118","5700","svendborg","14.533","105","1.907","736","4","12 dag","1962"
"1.595.000 kr.","engvang","2","6971","spjald","6.249","254","2.581","2.187","6","12 dag","1979"
"1.448.000 kr.","plantagevej","12","6740","bramming","6.630","201","2.645","687","7","12 dag","1907"
"2.195.000 kr.","haderslevvej","54","6000","kolding","11.429","173","2.743","583","5","12 dag","1905"
"4.250.000 kr.","hjortespringvej","81","2730","herlev","28.099","114","4.315","706","4","12 dag","1960"
"595.000 kr.","fuglebakken","7","5690","tommerup","3.859","126","1.449","770","4","12 dag","1964"
"1.749.000 kr.","soendervej","12","5672","broby","8.445","194","1.687","1.115","6","12 dag","1924"
"3.895.000 kr.","vindingvej","102","7100","vejle","23.620","147","2.919","1.071","6","12 dag","1961"
"895.000 kr.","krogvej","2","4200","slagelse","6.615","127","2.099","590","5","12 dag","1877"
"1.345.000 kr.","hjortgaardsvej","39","8600","silkeborg","8.589","159","1.903","563","6","12 dag","1930"
"3.195.000 kr.","charlotteparken","63","8700","horsens","21.117","146","2.681","598","4","12 dag","1994"
"645.000 kr.","skyttevej","14","6510","gram","5.956","84","1.108","800","3","12 dag","1961"
"690.000 kr.","nykoebingvej","57","4850","stubbekoebing","4.162","155","1.724","1.174","4","12 dag","1950"
"1.895.000 kr.","tiendevej","19","4760","vordingborg","9.595","189","2.606","926","5","12 dag","1976"
"1.895.000 kr.","brovangen","45","3700","roenne","12.062","154","2.548","839","5","12 dag","1975"
"3.995.000 kr.","grantoften","4","9210","aalborg","20.873","183","2.995","800","5","12 dag","1968"
"6.295.000 kr.","gravenshovedvej","21","6100","haderslev","29.742","207","2.235","3.054","7","12 dag","1960"
"2.798.000 kr.","langoevaenget","2","8381","tilst","22.474","108","3.143","724","4","12 dag","1973"
"2.195.000 kr.","hestebakken","6","9240","nibe","12.373","180","2.320","625","5","12 dag","1977"
"985.000 kr.","egeparken","59","6230","roedekro","10.591","91","1.258","428","4","12 dag","1980"
"1.685.000 kr.",NA,NA,NA,NA,"14.148","121","1.598","489","5","12 dag","1915"
"2.045.000 kr.","sanderumvej","147","5250","odense","13.674","131","2.163","635","5","12 dag","1915"
"1.245.000 kr.","espegyden","1","5792","aarslev","10.427","81","1.794","995","3","12 dag","1952"
"4.195.000 kr.","boltebjerg","24","5750","ringe","22.651","178","2.581","852","5","12 dag","2018"
"5.995.000 kr.","engelstoft","138","8520","lystrup","31.420","186","3.062","791","6","12 dag","2011"
"289.000 kr.","knuthenborgvej","64","4930","maribo","3.566","73","1.016","1.435","4","12 dag","1907"
"1.095.000 kr.","soendergade","49","9320","hjallerup","7.424","151","1.950","831","4","12 dag","1930"
"1.045.000 kr.",NA,NA,NA,NA,"5.556","158","2.046","370","5","12 dag","1927"
"1.195.000 kr.","noerremark","20","6230","roedekro","9.868","114","1.767","1.040","3","12 dag","1974"
"2.998.000 kr.","kirsebaervej","43","8471","sabro","20.791","140","2.928","878","5","12 dag","1986"
"6.495.000 kr.","soendervaenget","13","9990","skagen","45.356","127","4.820","722","4","12 dag","1998"
"1.195.000 kr.","storegade","36","8990","faarup","7.712","140","1.494","1.060","3","12 dag","1954"
"498.000 kr.","klaestrupvej","69","9740","jerslev","3.235","131","1.440","820","3","12 dag","1979"
"3.450.000 kr.","sortehoelsvejen","2","3740","svaneke","9.951","230","1.855","11.437","5","12 dag","1899"
"4.695.000 kr.","bjerresletten","7","3250","gilleleje","19.706","182","3.111","3.342","5","12 dag","1876"
"2.995.000 kr.","gadstrupparken","51","4621","gadstrup","12.323","206","4.214","835","9","12 dag","1970"
"12.400.000 kr.","blaamunkevej","16","7500","holstebro","39.160","266","7.624","2.283","7","12 dag","1954"
"1.495.000 kr.","susaa-landevej","80","4160","herlufmagle","9.394","146","1.979","1.640","4","12 dag","1939"
"3.395.000 kr.","ringstedvej","2","7400","herning","18.552","148","2.763","803","4","12 dag","1953"
"2.645.000 kr.","mozartsvej","22","9200","aalborg","17.932","141","2.542","750","4","12 dag","1962"
"2.795.000 kr.","plantagevej","16","7000","fredericia","14.672","190","2.770","835","7","12 dag","1978"
"2.595.000 kr.","potentilvej","4","4750","lundby","12.910","189","2.341","1.525","6","12 dag","1989"
"1.495.000 kr.","engvej","2","8990","faarup","10.061","136","1.405","1.069","4","12 dag","1950"
"1.085.000 kr.","vestervang","13","8850","bjerringbro","7.614","134","2.117","835","4","12 dag","1963"
"2.198.000 kr.","nygade","3","6760","ribe",NA,NA,NA,NA,NA,NA,NA
"2.745.000 kr.","soeborgvej","14","8930","randers","12.912","169","2.886","1.028","5","12 dag","1970"
"3.945.000 kr.","hjorthoej","9","4400","kalundborg","19.700","190","3.145","880","4","12 dag","1974"
"279.000 kr.","vejlevejen","41","7742","vesloes","1.860","90","1.278","1.460","1","12 dag","1870"
"745.000 kr.","faelledvej","10","3790","hasle","9.371","73","1.273","158","2","12 dag","1880"
"1.995.000 kr.","iller-byvej","38","8643","ans","7.264","150","2.529","6.714","5","12 dag","1852"
"2.995.000 kr.","mads-nielsensvej","3","8870","langaa","16.501","173","2.543","970","6","12 dag","2009"
"1.495.000 kr.","fjordvej","11","7130","juelsminde","12.335","114","1.782","987","4","12 dag","1965"
"2.095.000 kr.","toften","12","5540","ullerslev","6.399","310","2.330","1.069","8","12 dag","1988"
"2.250.000 kr.","brunagervej","16","9530","stoevring","17.971","120","2.493","803","4","12 dag","1985"
"680.000 kr.","soegaardsvej","40","7900","nykoebing","2.671","98","1.377","4.440","3","12 dag","1912"
"2.695.000 kr.","jeppe-aakjaers-vej","3","9800","hjoerring","13.455","183","2.823","1.050","7","12 dag","1976"
"3.295.000 kr.","hestehavevej","103","4720","praestoe","17.184","185","2.693","587","5","12 dag","1899"
"2.395.000 kr.","severinvaenget","3","6040","egtved","13.694","171","3.140","722","5","12 dag","2008"
"695.000 kr.","praestegaardsvej","9","9800","hjoerring","3.793","152","1.289","2.276","5","12 dag","1888"
"1.075.000 kr.","svingelsvej","59","4900","nakskov","3.781","257","2.654","566","7","12 dag","1910"
"2.195.000 kr.","skolevej","15","8870","langaa","9.799","219","1.905","1.292","4","12 dag","1877"
"995.000 kr.","holbaekvej","139","4400","kalundborg","7.268","99","2.185","788","3","12 dag","1957"
"1.495.000 kr.","stadion-alle","10","8722","hedensted","7.999","142","2.324","770","4","12 dag","1954"
"550.000 kr.","villavej","11","7270","stakroge","4.132","131","1.250","530","5","12 dag","1979"
"16.200.000 kr.","vangeledet","58","2830","virum","64.362","215","10.890","859","7","12 dag","2013"
"795.000 kr.","svingels-alle","13","4900","nakskov","9.034","88","1.895","1.068","3","12 dag","1936"
"3.375.000 kr.","roervaenget","10","4622","havdrup","22.463","138","3.511","1.024","4","12 dag","1967"
"1.645.000 kr.",NA,NA,NA,NA,"7.787","176","1.708","1.065","12","12 dag","1847"
"2.750.000 kr.","tranbjerg-hovedgade","70","8310","tranbjerg","18.463","114","2.985","602","4","12 dag","1951"
"2.495.000 kr.","lerdrupvej","18","8300","odder","10.640","199","2.589","5.835","6","12 dag","1921"
"1.725.000 kr.","lucernevej","16","8700","horsens","12.605","119","1.986","708","4","12 dag","1968"
"1.995.000 kr.","poppelvej","26","3630","jaegerspris","14.723","134","2.269","1.227","6","12 dag","1965"
"2.395.000 kr.","vindevej","21","7800","skive","8.915","269","1.831","692","8","12 dag","1932"
"1.095.000 kr.","albert-dams-vej","10","9382","tylstrup","7.644","136","1.910","768","4","12 dag","1973"
"1.785.000 kr.","dyssevaenget","43","4400","kalundborg","14.028","125","1.798","367","5","12 dag","2007"
"3.995.000 kr.","noerre-tranders-vej","105","9000","aalborg","14.306","218","3.314","1.440","6","12 dag","1948"
"4.898.000 kr.","knopsvane-alle","18","8464","galten","22.345","188","3.671","1.004","6","12 dag","2018"
"4.995.000 kr.","loevvaenget","7","3100","hornbaek","26.690","182","5.224","1.157","5","12 dag","1985"
"1.295.000 kr.","langemosevej","16","5610","assens","8.043","160","1.364","1.580","6","12 dag","1877"
"5.295.000 kr.","haldsoevej","22","8240","risskov","29.490","181","3.833","1.000","6","12 dag","1999"
"3.295.000 kr.","julagervaenget","105","5260","odense","20.258","150","2.441","765","4","12 dag","1973"
"2.250.000 kr.","hoejvangsvej","49","9400","noerresundby","21.572","95","2.332","569","5","12 dag","1929"
"13.500.000 kr.","sanskevej","11","2960","rungsted","55.464","254","8.295","982","7","12 dag","1917"
"1.345.000 kr.","kildevej","4","4771","kalvehave","10.549","120","2.015","823","3","12 dag","1973"
"2.995.000 kr.","thorsvej","35","7000","fredericia","19.273","138","2.210","457","5","12 dag","1925"
"1.145.000 kr.","moellevej","8","7830","vinderup","8.432","127","1.551","663","5","12 dag","1914"
"3.345.000 kr.","vestermarken","18","7330","brande","19.071","163","2.759","2.197","5","12 dag","1992"
"6.995.000 kr.","valorevej","5","2650","hvidovre","38.141","151","5.072","586","8","12 dag","1927"
"4.395.000 kr.","frederiksbergvej","18","4180","soroe","24.567","164","4.173","749","4","12 dag","1912"
"1.698.000 kr.","hans-silas-nielsens-vej","20","6731","tjaereborg","10.969","148","1.995","735","5","12 dag","1962"
"5.495.000 kr.","frydenlund","176","7120","vejle","26.167","186","4.434","1.009","5","12 dag","2017"
"2.295.000 kr.","astersvej","10","3310","oelsted","19.213","114","3.052","800","4","12 dag","1975"
"1.695.000 kr.","borup-alle","40","8920","randers","14.125","108","2.276","938","3","12 dag","1972"
"2.495.000 kr.","padkaervej","91","9670","loegstoer","8.278","288","1.825","5.045","5","12 dag","1925"
"3.495.000 kr.","hoejmarksvaenget","26","8600","silkeborg","14.002","253","3.798","1.165","8","12 dag","1976"
"2.095.000 kr.","aeblehaven","96","6040","egtved","10.407","196","2.467","800","6","12 dag","1984"
"1.195.000 kr.","banevej","7","4296","nyrup","5.618","185","2.312","529","5","12 dag","1900"
"3.945.000 kr.","kulhusvej","180","3630","jaegerspris","20.845","165","3.564","2.905","4","12 dag","1926"
"1.295.000 kr.","lindebjerg-have","42","5474","veflinge","9.283","124","2.975","1.008","4","12 dag","1976"
"1.798.000 kr.","rosenvaenget","27","6800","varde","9.197","165","2.720","759","5","12 dag","1970"
"4.795.000 kr.","stadagervej","74","2730","herlev","33.602","140","4.355","620","5","12 dag","1969"
"2.995.000 kr.","engsvinget","10","2680","solroed","55.981","50","3.454","1.114","3","12 dag","1946"
"395.000 kr.","vester-snogbaek","21","6400","soenderborg","3.599","97","1.008","1.493","5","12 dag","1852"
"5.350.000 kr.","hundigevaenget","11","2670","greve","24.907","220","4.351","1.434","7","12 dag","1960"
"495.000 kr.","brogaardsvej","41","3700","roenne","4.256","103","1.342","1.100","5","12 dag","1917"
"5.500.000 kr.",NA,NA,NA,NA,"21.468","235","4.617","1.516","5","12 dag","1971"
"1.745.000 kr.","leonora-christinas-vej","32","7430","ikast","15.327","111","1.991","854","5","12 dag","1986"
"1.995.000 kr.","hovedgaden","2","8740","braedstrup","11.939","164","1.889","25.978","3","12 dag","1912"
"1.995.000 kr.","kirkely","1","7400","herning","9.874","201","2.353","433","6","12 dag","1890"
