"pris","vej","vejnr","postnr","by","kvmpris","størrelse","mdudg","grund","værelser","liggetid","opført"
"1.895.000 kr.","skovkrogen","12","6840","oksboel","12.892","138","3.188","1.380","5","1 dag","1965"
"6.495.000 kr.","hornshoejvej","37","9320","hjallerup","3.456","121","1.468","6.157","3","1 dag","1960"
"445.000 kr.","praestegaardsvej","8","8382","hinnerup","30.918","190","3.355","896","5","1 dag","2020"
"2.775.000 kr.","granly-alle","57","6710","esbjerg","17.115","235","2.219","780","5","1 dag","1963"
"475.000 kr.","asmindrupvej","5","4572","noerre","7.709","228","2.172","2.528","8","1 dag","1968"
"695.000 kr.","bjergsnaes-mose","9","8800","viborg","23.243","186","3.418","872","6","1 dag","2017"
"3.550.000 kr.","vessoe-lund","33","8680","ry","28.443","165","3.552","509","5","1 dag","2021"
"3.875.000 kr.","sdr-strandvej","34","3730","nexoe","7.767","125","1.789","229","5","1 dag","1911"
"3.995.000 kr.","jaettevej","9","6200","aabenraa","17.606","148","1.169","1.032","5","1 dag","1964"
"2.295.000 kr.","halkjaervej","12","7620","lemvig","6.941","240","2.866","13.001","5","1 dag","2003"
"3.750.000 kr.","skovgade","21","6320","egernsund","7.906","96","1.430","1.088","3","1 dag","1877"
"3.750.000 kr.","hoejbjergvej","11","4250","fuglebjerg","18.668","159","2.397","1.813","5","1 dag","2003"
"3.998.000 kr.",NA,NA,NA,NA,"12.633","124","2.797","748","4","1 dag","1968"
"2.895.000 kr.","kratvaenget","21","6630","roedding","9.927","246","2.915","1.203","7","1 dag","1998"
"1.265.000 kr.","nordlundsvej","73","2650","hvidovre","23.992","129","4.822","909","4","1 dag","1954"
"495.000 kr.","irisvej","5","6100","haderslev","8.951","128","1.728","1.031","4","1 dag","1973"
"1.595.000 kr.","bakkestjernen","11","8700","horsens","21.138","198","3.658","908","5","1 dag","2019"
"5.998.000 kr.","nordvangs-alle","20","8250","egaa","30.336","203","4.680","1.163","7","1 dag","2018"
"11.000.000 kr.","snoedevej","80","5953","tranekaer","3.063","128","1.248","563","4","1 dag","1948"
"2.995.000 kr.","grandisvej","15","9310","vodskov","8.156","183","3.106","1.220","5","1 dag","1974"
"2.695.000 kr.","provst-schades-alle","11","7900","nykoebing","3.243","100","1.378","385","5","1 dag","1936"
"3.995.000 kr.","oesterkobbel","5","6440","augustenborg","9.979","127","2.031","798","5","1 dag","1966"
"3.975.000 kr.","aabyvejen","6","5881","skaarup","16.789","159","2.041","900","5","1 dag","1961"
"875.000 kr.","simmerstedvej","69","6100","haderslev","12.057","204","3.178","970","4","1 dag","1960"
"3.500.000 kr.","tane-hedevej","17","6857","blaavand","23.333","90","2.144","1.303","3","1 dag","1941"
"795.000 kr.",NA,NA,NA,NA,"55.833","30","1.165","133","6","1 dag","1900"
"5.245.000 kr.","vangevej","3","7150","barrit","7.750","120","1.883","1.061","4","1 dag","1967"
"6.495.000 kr.","skibsbakken","6","9500","hobro","13.458","275","3.823","1.700","9","1 dag","1910"
"1.695.000 kr.","gildringeparken","41","4690","haslev","17.386","110","2.316","809","4","1 dag","1980"
"3.695.000 kr.","overmarksvej","9","8660","skanderborg","19.275","100","2.172","11.202","5","1 dag","1969"
"1.235.000 kr.","vesterdamsvaenget","16","7400","herning","19.461","151","2.285","537","4","1 dag","2016"
"3.895.000 kr.","taarnborgvej","106","4220","korsoer","7.648","75","1.819","382","3","1 dag","1953"
"3.695.000 kr.","motelvej","25","4000","roskilde","22.527","104","3.481","882","4","1 dag","1961"
"1.095.000 kr.","fladsken","14","4220","korsoer","10.552","176","2.646","574","6","1 dag","1940"
"895.000 kr.","gudenaavaenget","6","7160","toerring","12.065","266","2.971","2.251","7","1 dag","2006"
"2.565.000 kr.","vestervej","5","8544","moerke","13.251","130","2.437","779","4","1 dag","1967"
"2.695.000 kr.","genvej","2","9490","pandrup","5.263","110","1.460","2.378","4","1 dag","1973"
"4.295.000 kr.","erantisvej","8","9400","noerresundby","22.127","150","3.254","1.316","5","1 dag","1966"
"895.000 kr.","duevej","1","3450","alleroed","28.512","92","4.365","635","3","1 dag","1959"
"3.699.000 kr.","agerupvej","8","4990","sakskoebing","3.228","100","1.428","1.491","3","1 dag","1880"
"895.000 kr.","eggersvej","25","2900","hellerup","84.554","557","20.282","1.886","11","1 dag","1919"
"1.750.000 kr.","kloevervangen","3","8920","randers","10.928","106","2.082","686","4","1 dag","1975"
"2.975.000 kr.","viemose-gade","40","4771","kalvehave","8.630","218","3.076","5.860","6","1 dag","1920"
"795.000 kr.","skipper-clements-vej","10","9800","hjoerring","6.843","107","1.684","394","3","1 dag","1937"
"2.195.000 kr.","kloevervangen","15","3660","stenloese","21.605","139","4.062","800","5","1 dag","1975"
"2.750.000 kr.","ege-alle","287","8600","silkeborg","18.785","193","3.374","1.092","6","1 dag","1979"
"595.000 kr.","strandvejen","100","3300","frederiksvaerk","15.561","86","2.314","583","3","1 dag","1932"
"3.850.000 kr.","ewalds-have","45","4300","holbaek","24.449","155","3.655","899","5","1 dag","1979"
"1.895.000 kr.","vester-alle","33","6600","vejen","11.667","173","2.219","879","6","1 dag","1938"
"2.795.000 kr.","gammel-landevej","26","8380","trige","13.211","126","1.610","393","4","1 dag","1920"
"1.595.000 kr.","industrivej","6","8740","braedstrup","7.892","146","1.957","2.311","4","1 dag","1969"
"1.485.000 kr.","helenavej","31","9210","aalborg","26.014","201","3.481","549","6","1 dag","2009"
"2.995.000 kr.","toesby-mosevej","1","7321","gadbjerg","14.502","224","2.728","4.654","5","1 dag","2005"
"1.785.000 kr.","aasoevej","2","5953","tranekaer","2.047","175","1.492","2.273","5","1 dag","1868"
"1.845.000 kr.","bregnevang","17","4690","haslev","16.827","130","2.740","752","5","1 dag","1979"
"4.495.000 kr.","laerketoften","3","3500","vaerloese","47.930","111","3.451","700","5","1 dag","1959"
"745.000 kr.","stationsvej","13","5771","stenstrup","5.576","200","2.007","911","7","1 dag","1920"
"1.695.000 kr.","hornsherredvej","451","4070","kirke","15.993","136","3.076","2.391","4","1 dag","1969"
"2.599.000 kr.","taaningvej","49","8660","skanderborg","10.035","113","1.761","1.288","4","1 dag","1850"
"3.198.000 kr.","parallelvej","35","3070","snekkersten","41.448","134","4.584","459","5","1 dag","1950"
"595.000 kr.","roligheden","18","9610","noerager","7.821","140","1.249","700","5","1 dag","1961"
"775.000 kr.","keidamsvej","58","4760","vordingborg","14.579","168","3.334","1.317","4","1 dag","1987"
"8.498.000 kr.","svendsgade","78","7100","vejle","18.234","91","2.395","745","3","1 dag","1975"
"11.000.000 kr.","kampmannsgade","5","7400","herning","15.892","183","2.847","494","6","1 dag","1940"
"2.798.000 kr.","texasvej","9","4200","slagelse","16.837","159","3.183","1.096","4","1 dag","1978"
"4.345.000 kr.","sneserevej","2","4720","praestoe","24.740","207","3.776","3.295","6","1 dag","1999"
"1.695.000 kr.","lindevej","9","8850","bjerringbro","10.292","134","1.893","1.000","4","1 dag","1956"
"2.395.000 kr.","vibeskraenten","7","2750","ballerup","25.538","140","4.277","660","5","1 dag","1958"
"995.000 kr.",NA,NA,NA,NA,"21.223","166","2.851","1.003","5","1 dag","2018"
"3.645.000 kr.","vemmenaesvej","54","5700","svendborg","7.625","154","1.840","2.170","6","1 dag","1883"
"1.250.000 kr.","ullerupvej","9","6780","skaerbaek","9.117","161","1.940","1.144","5","1 dag","1992"
"3.249.000 kr.","hasselgaerdet","4","6200","aabenraa","6.950","93","1.638","700","4","1 dag","1961"
"2.350.000 kr.","egebjergvej","376","4571","grevinge","5.708","233","2.712","2.182","8","1 dag","1911"
"1.095.000 kr.","kjellerupvej","62","8620","kjellerup","7.070","120","1.448","810","4","1 dag","1915"
"2.195.000 kr.","stenloesevej","102","2700","broenshoej","40.630","244","6.778","614","5","1 dag","2010"
"11.995.000 kr.","ringoevej","16","4000","roskilde","32.301","176","5.015","833","6","1 dag","1962"
"795.000 kr.","bispevaenget","24","8700","horsens","15.915","111","2.060","884","5","1 dag","1992"
"1.295.000 kr.","ved-fjorden","3","4070","kirke","15.959","202","4.024","795","5","1 dag","1968"
"2.295.000 kr.","kolshave","12","5400","bogense","4.727","146","1.452","1.251","7","1 dag","1820"
"995.000 kr.","valmuevej","6","4000","roskilde","30.888","140","3.977","832","3","1 dag","1912"
